Region,Club,Course,Tee,Par,Yardage (yds),Source
Hampshire,Liphook Golf Club,Liphook,Green,67,5020,https://www.liphookgolfclub.com/uploads/liphook/File/Website%20Docs/New%20Men%27s%20Scorecard%20April%202024.pdf
Hampshire,Liphook Golf Club,Liphook,Red,70,5546,https://www.liphookgolfclub.com/uploads/liphook/File/Website%20Docs/New%20Men%27s%20Scorecard%20April%202024.pdf
Hampshire,Liphook Golf Club,Liphook,Yellow,71,6013,https://www.liphookgolfclub.com/uploads/liphook/File/Website%20Docs/New%20Men%27s%20Scorecard%20April%202024.pdf
Hampshire,Liphook Golf Club,Liphook,White,71,6317,https://www.liphookgolfclub.com/uploads/liphook/File/Website%20Docs/New%20Men%27s%20Scorecard%20April%202024.pdf
Hampshire,Liphook Golf Club,Liphook,Blue,71,6523,https://www.liphookgolfclub.com/uploads/liphook/File/Website%20Docs/New%20Men%27s%20Scorecard%20April%202024.pdf
Hampshire,Hayling Golf Club,Hayling,White,71 (men),6529,https://www.haylinggolf.co.uk/images/thumbs/sites/hayling/940x0/1/Scorecard%20Image%20-%20W-Y-R%20-%20Inside%20-%20Nov%202020%20v2.jpg
Hampshire,Hayling Golf Club,Hayling,Yellow,71 (men),6264,https://www.haylinggolf.co.uk/images/thumbs/sites/hayling/940x0/1/Scorecard%20Image%20-%20W-Y-R%20-%20Inside%20-%20Nov%202020%20v2.jpg
Hampshire,Hayling Golf Club,Hayling,Red,74 (women),5813,https://www.haylinggolf.co.uk/images/thumbs/sites/hayling/940x0/1/Scorecard%20Image%20-%20W-Y-R%20-%20Inside%20-%20Nov%202020%20v2.jpg
Hampshire,Stoneham Golf Club,Stoneham,White,72,6392,https://golfsherpa.co.uk/courses/england/stoneham-golf-club
Hampshire,Stoneham Golf Club,Stoneham,Yellow,72,5956,https://golfsherpa.co.uk/courses/england/stoneham-golf-club
Hampshire,Stoneham Golf Club,Stoneham,Red,71,5343,https://golfsherpa.co.uk/courses/england/stoneham-golf-club
Hampshire,North Hants Golf Club,North Hants,White,69,6475,https://golfsherpa.co.uk/courses/england/north-hants-golf-club
Hampshire,North Hants Golf Club,North Hants,Yellow,70,6250,https://golfsherpa.co.uk/courses/england/north-hants-golf-club
Hampshire,North Hants Golf Club,North Hants,Red,68,5699,https://golfsherpa.co.uk/courses/england/north-hants-golf-club
Hampshire,Rowlands Castle Golf Club,Rowlands Castle,Black,72,6642,https://www.rowlandscastlegc.co.uk/course-overview
Hampshire,Waterlooville Golf Club,Waterlooville,White,72,6542,https://waterloovillegolfclub.com/the-course/
Hampshire,Waterlooville Golf Club,Waterlooville,Yellow,,6380,https://www.golfify.io/courses/waterlooville-golf-club
Hampshire,Waterlooville Golf Club,Waterlooville,Red,,5729,https://www.golfify.io/courses/waterlooville-golf-club
Isle of Wight,Cowes Golf Club,Cowes,White,70,5945,https://www.cowesgolfclub.co.uk/scorecard
Isle of Wight,Cowes Golf Club,Cowes,Yellow,70,5737,https://www.cowesgolfclub.co.uk/scorecard
Isle of Wight,Newport Golf Club,Newport (IoW),White,68,5554,https://www.newportiwgc.co.uk/scorecard
Isle of Wight,Shanklin & Sandown Golf Club,Shanklin & Sandown,White,70,5984,https://www.ssgolfclub.com/the-course/
Isle of Wight,Shanklin & Sandown Golf Club,Shanklin & Sandown,Red (Ladies),72,5426,https://www.ssgolfclub.com/the-course/
Isle of Wight,Freshwater Bay Golf Club,Freshwater Bay,(overall length),69,5725,https://www.freshwaterbaygolfclub.co.uk/the-course/course-overview/
Isle of Wight,Ryde Golf Club,Ryde,Yellow,,5582,https://www.golfify.io/courses/ryde-golf-club
Isle of Wight,Ryde Golf Club,Ryde,Red,,5170,https://www.golfify.io/courses/ryde-golf-club
Isle of Wight,Ventnor Golf Club,Ventnor,White,70,5790,https://18birdies.com/golf-courses/club/bff4b5e0-86ac-11e4-8c28-020000005b00/ventnor-golf-club
Isle of Wight,Ventnor Golf Club,Ventnor,Yellow,70,5699,https://18birdies.com/golf-courses/club/bff4b5e0-86ac-11e4-8c28-020000005b00/ventnor-golf-club
Isle of Wight,Ventnor Golf Club,Ventnor,Red,70,5173,https://18birdies.com/golf-courses/club/bff4b5e0-86ac-11e4-8c28-020000005b00/ventnor-golf-club
Isle of Wight,Westridge Golf Centre,Westridge (9-hole),(overall length),31 (9h),2012,https://www.westridgegolfcentre.com/facilities/the-course
Isle of Wight,Osborne Golf Club,Osborne,(overall length),70,6381,https://18birdies.com/golf-courses/club/bff419a0-86ac-11e4-8c28-020000005b00/osborne-golf-club
Channel Islands (Guernsey),Royal Guernsey Golf Club,Royal Guernsey (L'Ancresse),White,70,6215,https://www.royalguernseygolfclub.com/score-card
Channel Islands (Jersey),Royal Jersey Golf Club,Royal Jersey,White (tips),"70 (white/yellow), 71 (red)",6177,https://www.royaljersey.com/the-course/course-overview/
Channel Islands (Jersey),Les Mielles Golf & Country Club,Les Mielles (18-hole),White,70,5607,https://lesmielles.com/wp-content/uploads/2022/04/18-Hole-Course-Card.pdf
Channel Islands (Jersey),Les Mielles Golf & Country Club,Les Mielles (18-hole),Yellow,70,5376,https://lesmielles.com/wp-content/uploads/2022/04/18-Hole-Course-Card.pdf
Channel Islands (Jersey),Les Mielles Golf & Country Club,Les Mielles (18-hole),Red,71,5031,https://lesmielles.com/wp-content/uploads/2022/04/18-Hole-Course-Card.pdf
Channel Islands (Jersey),Les Mielles Golf & Country Club,Les Mielles (18-hole),Blue,71,4576,https://lesmielles.com/wp-content/uploads/2022/04/18-Hole-Course-Card.pdf
