Region,Club,Course,Tee,Par,Yardage (yds),Source
Hampshire,Hockley Golf Club,Hockley,White,71 (men),6420,https://www.hockleygolfclub.com/the_holes
Hampshire,Hockley Golf Club,Hockley,Yellow,71 (men),6067,https://www.hockleygolfclub.com/the_holes
Hampshire,Hockley Golf Club,Hockley,Red,72 (women),5677,https://www.hockleygolfclub.com/the_holes
Hampshire,Corhampton Golf Club,Corhampton,White,,6398,https://www.1golf.eu/en/club/corhampton-golf-club/
Hampshire,Corhampton Golf Club,Corhampton,Yellow,,6088,https://www.1golf.eu/en/club/corhampton-golf-club/
Hampshire,Corhampton Golf Club,Corhampton,Red,,5800,https://www.1golf.eu/en/club/corhampton-golf-club/
Hampshire,Corhampton Golf Club,Corhampton,(note),,,https://www.corhamptongc.co.uk/scorecard (gender-neutral tees: orange/blue/purple)
Hampshire,Royal Winchester Golf Club,Royal Winchester,Blue (m),,6479,https://www.hole19golf.com/courses/south-winchester-golf-club
Hampshire,Royal Winchester Golf Club,Royal Winchester,Overall length (site),72,6407,https://www.golfnow.com/tee-times/facility/18481-royal-winchester-golf-club/search
Hampshire,Basingstoke Golf Club,Basingstoke,68 (back),71,6842,https://www.basingstokegolfclub.co.uk/uploads/basingstoke/File/Scorecard%20and%20WHS/Mens%20Scorecard%20August%202024.pdf
Hampshire,Basingstoke Golf Club,Basingstoke,63,72,6384,https://www.basingstokegolfclub.co.uk/uploads/basingstoke/File/Scorecard%20and%20WHS/Mens%20Scorecard%20August%202024.pdf
Hampshire,Basingstoke Golf Club,Basingstoke,60,72,6087,https://www.basingstokegolfclub.co.uk/uploads/basingstoke/File/Scorecard%20and%20WHS/Mens%20Scorecard%20August%202024.pdf
Hampshire,Basingstoke Golf Club,Basingstoke,55,72,5540,https://www.basingstokegolfclub.co.uk/uploads/basingstoke/File/Scorecard%20and%20WHS/Mens%20Scorecard%20August%202024.pdf
Hampshire,Army Golf Club,Army (Aldershot),Purple,71,6631,https://www.armygolfclub.com/images/sites/army/pages/203/940x0/1/2024_05_08_12_37_38.png
Hampshire,Army Golf Club,Army (Aldershot),White,71,6518,https://www.armygolfclub.com/images/sites/army/pages/203/940x0/1/2024_05_08_12_37_38.png
Hampshire,Army Golf Club,Army (Aldershot),Yellow,71,6319,https://www.armygolfclub.com/images/sites/army/pages/203/940x0/1/2024_05_08_12_37_38.png
Hampshire,Army Golf Club,Army (Aldershot),Red,69 (men) / 73 (women),5709,https://www.armygolfclub.com/images/sites/army/pages/203/940x0/1/2024_05_08_12_37_38.png
Hampshire,Petersfield Golf Club,Petersfield,White,72,6308,https://www.petersfieldgolfclub.co.uk/scorecard24
Hampshire,Petersfield Golf Club,Petersfield,Blue,,6004,https://www.petersfieldgolfclub.co.uk/scorecard24
Hampshire,Petersfield Golf Club,Petersfield,Yellow,71,5763,https://www.petersfieldgolfclub.co.uk/scorecard24
Hampshire,Petersfield Golf Club,Petersfield,Red,72,5394,https://www.petersfieldgolfclub.co.uk/scorecard24
Hampshire,Bramshaw Golf Club,Manor,White,71,6493,https://www.golfify.io/courses/bramshaw-golf-club-manor
Hampshire,Bramshaw Golf Club,Manor,Yellow,69.5 CR (par 72),6135,https://www.golfify.io/courses/bramshaw-golf-club-manor
