County,Club,Course,Tee,Yards,Par,Source
Hampshire,South Winchester Golf Club,South Winchester,Blue,7086,72,Club scorecard PDF
Hampshire,South Winchester Golf Club,South Winchester,White,6750,72,Club scorecard PDF
Hampshire,South Winchester Golf Club,South Winchester,Yellow,6485,72,Club scorecard PDF
Hampshire,South Winchester Golf Club,South Winchester,Green,6008,74,Club scorecard PDF
Hampshire,South Winchester Golf Club,South Winchester,Orange,4515,74,Club scorecard PDF
Hampshire,Barton-on-Sea Golf Club,Needles/Stroller,White,6403,71,Golfify
Hampshire,Barton-on-Sea Golf Club,Needles/Stroller,Yellow,6223,71,Golfify
Hampshire,Barton-on-Sea Golf Club,Needles/Stroller,Red,5410,72,Golfify
Hampshire,Barton-on-Sea Golf Club,Stroller/Becton,White,6274,71,Golfify
Hampshire,Barton-on-Sea Golf Club,Stroller/Becton,Red,5483,72,Golfify
Hampshire,Cams Hall Estate Golf Club,Creek (18),White,6201,71,GolfNow/18Birdies
Hampshire,Cams Hall Estate Golf Club,Creek (18),Yellow,5861,71,GolfNow/18Birdies
Hampshire,Cams Hall Estate Golf Club,Creek (18),Red,5267,71,GolfNow/18Birdies
Hampshire,Skylark Golf & Country Club,Skylark,White,5535,69,18Birdies
Hampshire,Skylark Golf & Country Club,Skylark,Yellow,5254,69,18Birdies
Hampshire,Skylark Golf & Country Club,Skylark,Red,5042,71,18Birdies
Hampshire,Southwick Park Golf Club,Southwick Park,White,5884,74,GolfSherpa
Hampshire,Southwick Park Golf Club,Southwick Park,Yellow,5468,68,GolfSherpa
Hampshire,Southwick Park Golf Club,Southwick Park,Red,5253,68,GolfSherpa
Hampshire,Alresford Golf Club,Alresford,White,6031,69,GolfNow
Hampshire,Alresford Golf Club,Alresford,Yellow,5763,69,GolfNow
Hampshire,Alresford Golf Club,Alresford,Red,5442,71,GolfNow
Hampshire,Worldham Golf Club,Worldham,White,6257,72,Worldham site / GolfSherpa
Hampshire,Worldham Golf Club,Worldham,Yellow,5887,72,Worldham site / GolfSherpa
Hampshire,Worldham Golf Club,Worldham,Red,5326,71,GolfSherpa
Hampshire,Dummer Golf Club (Basingstoke GC),Dummer,White,6533,72,Offcourse / Golfify / 18Birdies
Hampshire,Dummer Golf Club (Basingstoke GC),Dummer,Yellow,6066,72,Offcourse / Golfify / 18Birdies
Hampshire,Dummer Golf Club (Basingstoke GC),Dummer,Red,5453,71,Offcourse / Golfify / 18Birdies
Hampshire,Romsey Golf Club,Romsey,White,5718,69,Club scorecard page
Hampshire,Romsey Golf Club,Romsey,Yellow,5389,69,Club scorecard page
Hampshire,Romsey Golf Club,Romsey,Red,5214,70,Club scorecard page
Hampshire,Paultons Golf Centre,Championship,White,6238,71,Club site / GolfPass
Hampshire,Paultons Golf Centre,Championship,Yellow,6011,71,GolfPass
Hampshire,Paultons Golf Centre,Championship,Red,5591,71,GolfPass
Hampshire,Southampton City Golf Course,18-hole,White,6174,70,GolfNow
Hampshire,Southampton City Golf Course,18-hole,Yellow,5968,70,GolfNow / GolfSherpa
Hampshire,Southampton City Golf Course,18-hole,Red,5618,70,GolfSherpa
Hampshire,Portsmouth Golf Course,Portsmouth,White,6040,69,18Birdies
Hampshire,Portsmouth Golf Course,Portsmouth,Yellow,5800,68,18Birdies
Hampshire,Portsmouth Golf Course,Portsmouth,Red,5265,71,18Birdies
Hampshire,Wellow Golf Club,Embley/Blackwater,White,6112,72,GolfTraxx
Hampshire,Wellow Golf Club,Embley/Blackwater,Yellow,5848,72,GolfTraxx
Hampshire,Wellow Golf Club,Embley/Blackwater,Red,5590,72,GolfTraxx
Hampshire,Bishopswood Golf Club,Bishopswood (18),White,6474,72,18Birdies
Hampshire,Bishopswood Golf Club,Bishopswood (18),Yellow,6190,72,18Birdies
Hampshire,Bishopswood Golf Club,Bishopswood (18),Red,5604,72,18Birdies
Hampshire,Chilworth Golf Club,Chilworth,White,5915,69,Golfify / GolfSherpa
Hampshire,Chilworth Golf Club,Chilworth,Yellow,5693,69,Golfify / GolfSherpa
Hampshire,Avington Park Golf Course,Avington (18),White,3816,61,GolfPass / Club IG page
Hampshire,Sandford Springs Golf Club,Park & Woods,White,6089,70,Golfify
Hampshire,Sandford Springs Golf Club,Park & Woods,Yellow,5897,69,Golfify
Hampshire,Sandford Springs Golf Club,Park & Woods,Red,5477,72,Golfify
