Region,Club,Course,Tee,Par,Yardage (yds),Source
Channel Islands (Alderney),Alderney Golf Club,Alderney,Red,69,4784,GolfNow
Channel Islands (Alderney),Alderney Golf Club,Alderney,White,68,5079,Club / GolfNow
Channel Islands (Alderney),Alderney Golf Club,Alderney,Yellow,68,4932,GolfNow
Channel Islands (Guernsey),St Pierre Park Hotel & Golf Resort,St Pierre Park (9-hole),White,27,1394,https://www.golfpass.com/travel-advisor/courses/34810-the-st-pierre-park-hotel-golf-resort
Channel Islands (Jersey),La Moye Golf Club,La Moye,Red,74,5882,Club scorecard
Channel Islands (Jersey),La Moye Golf Club,La Moye,White,72,6821,Club scorecard
Channel Islands (Jersey),La Moye Golf Club,La Moye,Yellow,72,6442,Club scorecard
Channel Islands (Jersey),Les Ormes Golf Club,Les Ormes (9-hole),Blue,66,1573,https://www.golfify.io/courses/les-ormes-golf-club
Channel Islands (Jersey),Les Ormes Golf Club,Les Ormes (9-hole),Red,66,2063,https://www.golfify.io/courses/les-ormes-golf-club
Channel Islands (Jersey),Les Ormes Golf Club,Les Ormes (9-hole),White,66,2506,https://www.golfify.io/courses/les-ormes-golf-club
Channel Islands (Jersey),Les Ormes Golf Club,Les Ormes (9-hole),Yellow,66,2319,https://www.golfify.io/courses/les-ormes-golf-club
Channel Islands (Jersey),Wheatlands Golf Course,Wheatlands (9-hole),White,27,1427,https://www.golfpass.com/travel-advisor/courses/34791-wheatlands-golf-course
Channel Islands (Sark),Sark Golf Club,Sark (9-hole),White,66,4766,GolfPass / Club info
Hampshire,Alton Golf Club,Alton,White,68,5751,https://altongolfclub.com/scorecard
Hampshire,Ampfield Golf Club,Ampfield (Par-3),White,54,2553,https://18birdies.com/golf-courses/club/bfac6240-86ac-11e4-8c28-020000005b00/ampfield
Hampshire,Ampfield Golf Club,Ampfield (Par-3),Yellow,54,2301,https://18birdies.com/golf-courses/club/bfac6240-86ac-11e4-8c28-020000005b00/ampfield
Hampshire,Andover Golf Club,Andover,White (overall),70,6096,https://www.andovergolfclub.co.uk/scorecard/
Hampshire,Blackmoor Golf Club,Blackmoor,Black,,6372,https://blackmoor.com/
Hampshire,Blackmoor Golf Club,Blackmoor,Red,,4581,https://blackmoor.com/
Hampshire,Blackmoor Golf Club,Blackmoor,White,,5945,https://blackmoor.com/
Hampshire,Blackmoor Golf Club,Blackmoor,Yellow,,5556,https://blackmoor.com/
Hampshire,Blacknest Golf & Country Club,Blacknest,Red,69,4886,https://18birdies.com/golf-courses/club/bfaf9690-86ac-11e4-8c28-020000005b00/blacknest-golf-and-country-club
Hampshire,Blacknest Golf & Country Club,Blacknest,White,69,5901,https://18birdies.com/golf-courses/club/bfaf9690-86ac-11e4-8c28-020000005b00/blacknest-golf-and-country-club
Hampshire,Blacknest Golf & Country Club,Blacknest,Yellow,69,5478,https://18birdies.com/golf-courses/club/bfaf9690-86ac-11e4-8c28-020000005b00/blacknest-golf-and-country-club
Hampshire,Boundary Lakes Golf Course,Boundary Lakes,Red,69,4953,https://18birdies.com/golf-courses/club/23c8a690-2dbe-11ea-b2af-06780482e2ce/boundary-lakes-golf-course
Hampshire,Boundary Lakes Golf Course,Boundary Lakes,White,69/70,5951,https://18birdies.com/golf-courses/club/23c8a690-2dbe-11ea-b2af-06780482e2ce/boundary-lakes-golf-course
Hampshire,Boundary Lakes Golf Course,Boundary Lakes,Yellow,69,5578,https://18birdies.com/golf-courses/club/23c8a690-2dbe-11ea-b2af-06780482e2ce/boundary-lakes-golf-course
Hampshire,Brokenhurst Manor Golf Club,Brokenhurst Manor,Blue,70,4740,https://www.golfnow.co.uk/courses/-4172-brokenhurst-manor-golf-club-details
Hampshire,Brokenhurst Manor Golf Club,Brokenhurst Manor,Red (Women),72,5571,https://www.golfnow.co.uk/courses/-4172-brokenhurst-manor-golf-club-details
Hampshire,Brokenhurst Manor Golf Club,Brokenhurst Manor,White,70,6238,https://www.golfnow.co.uk/courses/-4172-brokenhurst-manor-golf-club-details
Hampshire,Brokenhurst Manor Golf Club,Brokenhurst Manor,Yellow,70,5980,https://www.golfnow.co.uk/courses/-4172-brokenhurst-manor-golf-club-details
Hampshire,East Horton Golf Club,Greenwood,Red (Women),71,5211,https://www.golfpass.com/travel-advisor/courses/32950-east-horton-golf-club-greenwood-course
Hampshire,East Horton Golf Club,Greenwood,White,71,6186,https://www.golfpass.com/travel-advisor/courses/32950-east-horton-golf-club-greenwood-course
Hampshire,East Horton Golf Club,Greenwood,Yellow,71,5780,https://www.golfpass.com/travel-advisor/courses/32950-east-horton-golf-club-greenwood-course
Hampshire,East Horton Golf Club,Marwell (Par 3),White,27,938,https://www.easthorton.com/golf/
Hampshire,Leckford Golf Club,Leckford (Old & New),Overall length,,6280,https://18birdies.com/golf-courses/club/bfb6e990-86ac-11e4-8c28-020000005b00/leckford-golf-course
Hampshire,New Forest Golf Club,New Forest (Lyndhurst),Blue,68,5023,https://www.golfnow.com/courses/-2464-new-forest-golf-club-details
Hampshire,New Forest Golf Club,New Forest (Lyndhurst),Red (Women),67,4722,https://www.golfnow.com/courses/-2464-new-forest-golf-club-details
Hampshire,New Forest Golf Club,New Forest (Lyndhurst),White,69,5536,https://www.golfnow.com/courses/-2464-new-forest-golf-club-details
Hampshire,New Forest Golf Club,New Forest (Lyndhurst),Yellow,69,5343,https://www.golfnow.com/courses/-2464-new-forest-golf-club-details
Hampshire,Sherfield Oaks Golf Club,Waterloo,Red,,4891,https://18birdies.com/golf-courses/club/bfa4e830-86ac-11e4-8c28-020000005b00/sherfield-oaks-golf-club
Hampshire,Sherfield Oaks Golf Club,Waterloo,White,,5841,https://18birdies.com/golf-courses/club/bfa4e830-86ac-11e4-8c28-020000005b00/sherfield-oaks-golf-club
Hampshire,Sherfield Oaks Golf Club,Waterloo,Yellow,,5579,https://18birdies.com/golf-courses/club/bfa4e830-86ac-11e4-8c28-020000005b00/sherfield-oaks-golf-club
